id,year,month,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,sqft_living15,sqft_lot15,price_gte_500K
7129300520,2014,10,221900,3,1,1180,5650,1,0,0,3,7,1180,0,1955,0,98178,1340,5650,0
6414100192,2014,12,538000,3,2.25,2570,7242,2,0,0,3,7,2170,400,1951,1991,98125,1690,7639,1
5631500400,2015,2,180000,2,1,770,10000,1,0,0,3,6,770,0,1933,0,98028,2720,8062,0
2487200875,2014,12,604000,4,3,1960,5000,1,0,0,5,7,1050,910,1965,0,98136,1360,5000,1
1954400510,2015,2,510000,3,2,1680,8080,1,0,0,3,8,1680,0,1987,0,98074,1800,7503,1
7237550310,2014,5,1225000,4,4.5,5420,101930,1,0,0,3,11,3890,1530,2001,0,98053,4760,101930,1
1321400060,2014,6,257500,3,2.25,1715,6819,2,0,0,3,7,1715,0,1995,0,98003,2238,6819,0
2008000270,2015,1,291850,3,1.5,1060,9711,1,0,0,3,7,1060,0,1963,0,98198,1650,9711,0
2414600126,2015,4,229500,3,1,1780,7470,1,0,0,3,7,1050,730,1960,0,98146,1780,8113,0
3793500160,2015,3,323000,3,2.5,1890,6560,2,0,0,3,7,1890,0,2003,0,98038,2390,7570,0
1736800520,2015,4,662500,3,2.5,3560,9796,1,0,0,3,8,1860,1700,1965,0,98007,2210,8925,1
9212900260,2014,5,468000,2,1,1160,6000,1,0,0,4,7,860,300,1942,0,98115,1330,6000,0
114101516,2014,5,310000,3,1,1430,19901,1.5,0,0,4,7,1430,0,1927,0,98028,1780,12697,0
6054650070,2014,10,400000,3,1.75,1370,9680,1,0,0,4,7,1370,0,1977,0,98074,1370,10208,0
1175000570,2015,3,530000,5,2,1810,4850,1.5,0,0,3,7,1810,0,1900,0,98107,1360,4850,1
9297300055,2015,1,650000,4,3,2950,5000,2,0,3,3,9,1980,970,1979,0,98126,2140,4000,1
1875500060,2014,7,395000,3,2,1890,14040,2,0,0,3,7,1890,0,1994,0,98019,1890,14018,0
6865200140,2014,5,485000,4,1,1600,4300,1.5,0,0,4,7,1600,0,1916,0,98103,1610,4300,0
16000397,2014,12,189000,2,1,1200,9850,1,0,0,4,7,1200,0,1921,0,98002,1060,5095,0
7983200060,2015,4,230000,3,1,1250,9774,1,0,0,4,7,1250,0,1969,0,98003,1280,8850,0
6300500875,2014,5,385000,4,1.75,1620,4980,1,0,0,4,7,860,760,1947,0,98133,1400,4980,0
2524049179,2014,8,2000000,3,2.75,3050,44867,1,0,4,3,9,2330,720,1968,0,98040,4110,20336,1
7137970340,2014,7,285000,5,2.5,2270,6300,2,0,0,3,8,2270,0,1995,0,98092,2240,7005,0
8091400200,2014,5,252700,2,1.5,1070,9643,1,0,0,3,7,1070,0,1985,0,98030,1220,8386,0
3814700200,2014,11,329000,3,2.25,2450,6500,2,0,0,4,8,2450,0,1985,0,98030,2200,6865,0
1202000200,2014,11,233000,3,2,1710,4697,1.5,0,0,5,6,1710,0,1941,0,98002,1030,4705,0
1794500383,2014,6,937000,3,1.75,2450,2691,2,0,0,3,8,1750,700,1915,0,98119,1760,3573,1
3303700376,2014,12,667000,3,1,1400,1581,1.5,0,0,5,8,1400,0,1909,0,98112,1860,3861,1
5101402488,2014,6,438000,3,1.75,1520,6380,1,0,0,3,7,790,730,1948,0,98115,1520,6235,0
1873100390,2015,3,719000,4,2.5,2570,7173,2,0,0,3,8,2570,0,2005,0,98052,2630,6026,1
8562750320,2014,11,580500,3,2.5,2320,3980,2,0,0,3,8,2320,0,2003,0,98027,2580,3980,1
2426039314,2014,12,280000,2,1.5,1190,1265,3,0,0,3,7,1190,0,2005,0,98133,1390,1756,0
461000390,2014,6,687500,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,0,98117,1460,5000,1
7589200193,2014,11,535000,3,1,1090,3000,1.5,0,0,4,8,1090,0,1929,0,98117,1570,5080,1
7955080270,2014,12,322500,4,2.75,2060,6659,1,0,0,3,7,1280,780,1981,0,98058,2020,8720,0
9547205180,2014,6,696000,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,2002,98115,1590,3264,1
9435300030,2014,5,550000,4,1,1660,34848,1,0,0,1,5,930,730,1933,0,98052,2160,11467,1
2768000400,2014,12,640000,4,2,2360,6000,2,0,0,4,8,2360,0,1904,0,98107,1730,4700,1
7895500070,2015,2,240000,4,1,1220,8075,1,0,0,2,7,890,330,1969,0,98001,1290,7800,0
2078500320,2014,6,605000,4,2.5,2620,7553,2,0,0,3,8,2620,0,1996,0,98056,2620,11884,1
5547700270,2014,7,625000,4,2.5,2570,5520,2,0,0,3,9,2570,0,2000,0,98074,2470,5669,1
7766200013,2014,8,775000,4,2.25,4220,24186,1,0,0,3,8,2600,1620,1984,0,98166,2410,30617,1
7203220400,2014,7,861990,5,2.75,3595,5639,2,0,0,3,9,3595,0,2014,0,98053,3625,5639,1
9270200160,2014,10,685000,3,1,1570,2280,2,0,0,3,7,1570,0,1922,0,98119,1580,2640,1
1432701230,2014,7,309000,3,1,1280,9656,1,0,0,4,6,920,360,1959,0,98058,1340,8808,0
8035350320,2014,7,488000,3,2.5,3160,13603,2,0,0,3,8,3160,0,2003,0,98019,3050,9232,0
8945200830,2015,3,210490,3,1,990,8528,1,0,0,3,6,990,0,1966,0,98023,1228,8840,0
4178300310,2014,7,785000,4,2.5,2290,13416,2,0,0,4,9,2290,0,1981,0,98007,2680,13685,1
9215400105,2015,4,450000,3,1.75,1250,5963,1,0,0,4,7,1250,0,1953,0,98115,970,5100,0
822039084,2015,3,1350000,3,2.5,2753,65005,1,1,2,5,9,2165,588,1953,0,98070,2680,72513,1
5245600105,2014,9,228000,3,1,1190,9199,1,0,0,3,7,1190,0,1955,0,98148,1190,9364,0
7231300125,2015,2,345000,5,2.5,3150,9134,1,0,0,4,8,1640,1510,1966,0,98056,1990,9133,0
7518505990,2014,12,600000,3,1.75,1410,4080,1,0,0,4,7,1000,410,1950,0,98117,1410,4080,1
3626039271,2015,2,585000,2,1.75,1980,8550,1,0,0,3,7,990,990,1981,0,98117,1480,6738,1
